,horizon,mse,rmse,mae,mape,coverage
57,94 days 00:00:00.000000000,2211.9710619379134,47.031596421319925,39.9868148318983,0.15833414207294197,0.12979351032448377
58,95 days 00:00:00.000000000,2179.4841004117575,46.684945115227,39.650340959365536,0.1567541567109952,0.1302149178255373
59,96 days 00:00:00.000000000,2162.1823158783645,46.49927220805036,39.448337647739685,0.1557891449418399,0.13211125158027812
60,97 days 00:00:00.000000000,2190.13599249737,46.79888879554054,39.533607061201764,0.15627807351727227,0.12942477876106195
61,98 days 00:00:00.000000000,2178.8307090879784,46.67794671028256,39.25032513553429,0.1552865339832276,0.13716814159292035
62,99 days 00:00:00.000000000,2171.6182338640683,46.60062482267881,39.07724014697841,0.15490775108316465,0.13643067846607668
63,100 days 00:00:00.000000000,2192.9756007498863,46.829217383487055,39.04913080540845,0.15485647915140172,0.13463969658659922
64,101 days 00:00:00.000000000,2232.983258352358,47.254452259573995,39.19694304943893,0.15555042601865313,0.13021491782553724
65,102 days 00:00:00.000000000,2241.381877783053,47.343234762561934,39.09932197464535,0.15482402436291248,0.12705436156763594
66,103 days 00:00:00.000000000,2254.772844371309,47.48444844758449,39.038886552298386,0.15438416457847315,0.12758112094395288
67,104 days 00:00:00.000000000,2319.7480974233795,48.16376332289016,39.38974715879196,0.15602436305071277,0.13274336283185842
68,105 days 00:00:00.000000000,2314.856952047905,48.11296033344763,39.089058201265374,0.1550445908700367,0.1460176991150443
69,106 days 00:00:00.000000000,2332.4408410380624,48.29535009747897,39.04336725282773,0.15524509703140202,0.15423514538558783
70,107 days 00:00:00.000000000,2398.3849935940225,48.97330899167446,39.36926588841513,0.1565284074287528,0.15423514538558789
71,108 days 00:00:00.000000000,2446.487110634213,49.46197641253545,39.4695769730382,0.1571200466539499,0.1630847029077118
72,109 days 00:00:00.000000000,2436.5711262539994,49.36163617885857,39.16058236519306,0.15578596625371374,0.17625368731563423
73,110 days 00:00:00.000000000,2408.9408165613568,49.08096185448444,38.80774745356679,0.15444717960233212,0.18215339233038352
74,111 days 00:00:00.000000000,2463.361185495231,49.632259524378206,39.05248529908196,0.1558611838754808,0.18141592920353983
75,112 days 00:00:00.000000000,2496.3365477614716,49.963352046890044,39.17002721466649,0.15668308903831923,0.1814159292035399
76,113 days 00:00:00.000000000,2536.1049137345008,50.359754901453805,39.18116855087396,0.15695839062673397,0.19026548672566373
77,114 days 00:00:00.000000000,2552.1558283657273,50.518866063736304,39.189935372400406,0.156615784266805,0.1946902654867256
78,115 days 00:00:00.000000000,2583.3739287618923,50.826901624650425,39.26727890791019,0.15706931914643052,0.19911504424778764
79,116 days 00:00:00.000000000,2587.102587728841,50.863568373924,39.24869805226765,0.15690010021443995,0.1991150442477876
80,117 days 00:00:00.000000000,2587.4061937837314,50.86655280028057,39.13813729031835,0.15656152597623688,0.20353982300884962
81,118 days 00:00:00.000000000,2648.1976552771225,51.460641807862466,39.552309651018156,0.15862219243772754,0.20796460176991144
82,119 days 00:00:00.000000000,2686.19338539172,51.82849974089275,39.73780083746848,0.15982077097070352,0.21238938053097345
83,120 days 00:00:00.000000000,2750.3042128718653,52.443342884219966,40.09019866844311,0.16145621823263437,0.22123893805309736
84,121 days 00:00:00.000000000,2833.2305928336596,53.22809965454017,40.494120177127584,0.1630019567716464,0.2300884955752212
85,122 days 00:00:00.000000000,2880.067126982089,53.666256875080165,40.69776883873923,0.1639141063663962,0.2345132743362831
