date,open,high,low,close,volume
8/29/2014,98.15,98.82,97.15,97.31,523300
9/2/2014,97.46,98.45,96.77,98.36,543300
9/3/2014,98.58,99.25,98.08,99.16,641900
9/4/2014,99.42,101.77,99.11,99.59,825600
9/5/2014,99.91,99.92,98.03,99.45,779900
9/8/2014,99.77,100.1,97.7,98.11,871200
9/9/2014,98.11,99.23,96.58,96.99,1183300
9/10/2014,97.43,97.65,95.83,96.78,1095200
9/11/2014,96.45,97.69,95.86,97.48,3685800
9/12/2014,114.5,118.1992,114.12,114.89,9527700
9/15/2014,114.61,115.29,113.14,114.41,1609700
9/16/2014,114.04,116.97,113.2,116.15,1620400
9/17/2014,116.15,120.57,116.08,118.5,2027200
9/18/2014,118.72,119.315,117.49,118.4,695000
9/19/2014,119.24,120.82,119.16,120.38,1460500
9/22/2014,120.6,120.996,117.87,118.92,1006300
9/23/2014,118.03,118.8,116.05,116.05,1101400
9/24/2014,117.05,120.4452,116.91,120.41,959493
9/25/2014,120.2,121.43,118.82,118.855,806273
9/26/2014,119.33,119.9163,118.39,118.65,734429
9/29/2014,118.49,118.63,116.9,118.32,771640
9/30/2014,118.02,120.06,117.52,118.17,743421
10/1/2014,117.81,118.18,115.17,115.83,874833
10/2/2014,116,116.44,114.29,115.31,846905
10/3/2014,116.32,117.22,115.31,116.2,1422513
10/6/2014,116.7,117.25,115.94,116,633837
10/7/2014,114.9,115.625,113.41,113.42,860880
10/8/2014,113.63,115.4894,113.59,114.87,692840
10/9/2014,114.92,115.745,113.57,114.77,750290
10/10/2014,114.52,115.24,112.44,114.22,697561
10/13/2014,113.95,115.5,111.78,113.17,923715
10/14/2014,114,114.9412,111.41,111.96,1270645
10/15/2014,110.14,111.14,106.87,110.28,1673510
10/16/2014,109.37,114.305,108.745,113.85,1730448
10/17/2014,115.39,116.79,114.75,116.57,1144064
10/20/2014,116.85,120.08,116.08,119.87,1034256
10/21/2014,120.31,120.97,117.53,118.97,753837
10/22/2014,119.51,119.95,117.56,117.61,603521
10/23/2014,118.6,119.919,117.54,117.84,568391
10/24/2014,118.34,118.42,116.28,117.35,483167
10/27/2014,117.5,117.9649,116,117.72,474912
10/28/2014,117.95,121.129,117.115,120.97,831082
10/29/2014,120.97,123.74,119.78,121.56,1042983
10/30/2014,121.21,122.12,119.9,120.56,481333
10/31/2014,121.82,122.71,120.115,120.81,469458
11/3/2014,121.44,122.09,119.25,119.91,954186
11/4/2014,119.97,120.4,116.91,120.11,958974
11/5/2014,120.81,121.575,118.12,118.66,633092
11/6/2014,119.21,123.19,118.25,122.08,1074254
11/7/2014,122.12,122.92,120.79,121.75,456845
11/10/2014,121.43,124.12,121,124.08,627568
11/11/2014,124.2,124.3056,121.01,122.18,693069
11/12/2014,121.7,125.23,121.6609,125.04,666079
11/13/2014,125.64,125.955,123.3,123.92,636169
11/14/2014,123.77,125.05,123.21,123.75,333552
11/17/2014,123.36,125.19,122.39,124.2,788212
11/18/2014,124.2,125.17,123.5303,124.88,602570
11/19/2014,124.28,129.47,124.28,127.26,1099547
11/20/2014,127.19,128.32,126.82,127.04,477898
11/21/2014,128.14,128.62,127.03,127.38,741044
11/24/2014,125.47,126.95,122.3022,126.77,1103539
11/25/2014,126.8,127.84,124.55,125.7,617357
11/26/2014,125.35,126.07,125.01,125.8,350123
11/28/2014,126.01,128.32,126.01,126.49,218841
12/1/2014,126.92,127.29,123.59,124.46,685412
12/2/2014,125.21,125.6453,121.5,122,876929
12/3/2014,122.33,125.34,121.87,124.68,992221
12/4/2014,125.16,126.05,123.6,125.74,1610191
12/5/2014,132.8,134.5,127.83,129.75,3439358
12/8/2014,128.57,129.5,125.19,126.99,1170913
12/9/2014,124.98,127.65,123.81,127.53,724563
12/10/2014,127.61,128.5,125.19,125.23,733645
12/11/2014,127.54,130.98,127.53,129.44,1127428
12/12/2014,128.8,130.3099,128.64,128.67,487961
12/15/2014,129.41,129.46,127,128.34,567546
12/16/2014,128.28,128.88,126.55,127.28,579543
12/17/2014,128.01,131.26,126.71,130.86,592396
12/18/2014,132.25,132.79,128.75,129.7,1157790
12/19/2014,129.7,129.98,128.04,129.22,1129613
12/22/2014,129.23,130.835,128.415,128.53,620897
12/23/2014,128.65,129.599,127.54,128.56,1031435
12/24/2014,128.69,128.9499,127.89,128.18,408619
12/26/2014,128.4,129.4299,127.67,127.83,291259
12/29/2014,127.87,128.92,127.83,128.765,697894
12/30/2014,128.3,129.67,128.13,128.77,410931
12/31/2014,128.71,130.2,127.8,127.84,462954
1/2/2015,128.13,129.086,125.24,126.84,410905
1/5/2015,126.31,127.98,125.65,127.15,477609
1/6/2015,127.05,128.79,124.7,126.95,758152
1/7/2015,128.78,130.64,127.97,130.58,597180
1/8/2015,131.53,132.879,131.136,132.24,622476
1/9/2015,132,132.865,129.841,131.57,572269
1/12/2015,132.38,132.43,129.14,129.84,428315
1/13/2015,130.59,132.94,127.5101,128.81,542665
1/14/2015,127.15,129.06,127.13,128.75,410884
1/15/2015,131.81,131.81,126.86,127.135,681901
1/16/2015,126.75,129.95,126.61,129.72,529111
1/20/2015,130.39,130.6899,126.95,127.16,481604
1/21/2015,127.09,128.6689,126.6081,128.345,315470
1/22/2015,128.9,132.63,127.5,132.56,638681
1/23/2015,133.14,137.33,132.5,135.34,1233407
1/26/2015,136.68,137.4853,134.77,136.08,844179
1/27/2015,135.81,136.8299,134.15,135.84,437572
1/28/2015,136.65,137.2035,133.55,133.86,486707
1/29/2015,134.38,134.58,132.333,134.4,563886
1/30/2015,134.28,135.09,131.5,131.94,606937
2/2/2015,132.08,132.35,128.11,130.96,904060
2/3/2015,131.14,134.03,130.54,133.85,569336
2/4/2015,133.36,133.83,131.17,132,735412
2/5/2015,132.31,133.6,131.72,133.03,587990
2/6/2015,132.98,133.575,132,133.26,386529
2/9/2015,133.13,135.055,132.76,134.97,513058
2/10/2015,135.88,138.11,135.29,137,741115
2/11/2015,136.69,137.98,135.24,135.9,548347
2/12/2015,136.5,136.64,134.715,136.07,408638
2/13/2015,135.94,136.67,134.6932,136.66,521457
2/17/2015,136.74,136.937,134.561,135.91,336755
2/18/2015,135.38,136.74,134.59,136.615,275452
2/19/2015,136.85,139.73,136.6,136.92,562727
2/20/2015,137.12,138.13,135.71,138,286483
2/23/2015,137.99,138.92,136.67,137.25,316317
2/24/2015,137.67,138.41,136.11,138.39,523739
2/25/2015,138.42,140.3099,137.14,138.76,463092
2/26/2015,138.52,141,138.47,140.59,539579
2/27/2015,141.98,143.34,140.01,140.76,720566
3/2/2015,141.97,143.69,141,143.62,507456
3/3/2015,143.25,143.25,141.6001,142.03,662113
3/4/2015,141.55,142.01,139.44,139.91,659945
3/5/2015,139.95,141.8,139.49,140.86,479278
3/6/2015,140.56,141.165,138.27,138.59,640491
3/9/2015,139.88,141.7,139.4201,140.96,1691611
3/10/2015,140.27,142.09,139.03,140.47,1195724
3/11/2015,141.78,142.82,140.49,141.96,943396
3/12/2015,143.93,145.9,142.28,144.82,2368331
3/13/2015,155.09,156,148.11,150.1,4533651
3/16/2015,150,151,148.44,150.18,1256773
3/17/2015,149.38,151.94,148.78,150.46,923363
3/18/2015,150.73,151.59,149.13,150.99,840697
3/19/2015,151.01,152.67,150.39,152.285,719469
3/20/2015,152.68,152.75,151.1,152.02,856759
3/23/2015,153.1,154.52,152.61,153.18,734897
3/24/2015,153.24,154.5,152.8,153.77,536797
3/25/2015,153.62,154.33,151.29,151.58,555998
3/26/2015,150.35,151.28,148.36,150.005,621032
3/27/2015,149.63,151.75,149.57,151.2,441823
3/30/2015,152.84,153.02,151,151.58,553742
3/31/2015,151.51,152.96,150.4,150.85,477108
4/1/2015,150.89,151.376,148.4245,150.98,744999
4/2/2015,150.65,152.24,149.52,151.33,691621
4/6/2015,150.87,153.8699,150.6769,153.27,696328
4/7/2015,153.68,155.55,151.43,151.45,546785
4/8/2015,152.1,153.23,151.715,152.17,458102
4/9/2015,152.17,153.08,150.5,151.8,368743
4/10/2015,151.9,152.68,151.37,151.68,304586
4/13/2015,151.72,152.96,151.7147,152,540956
4/14/2015,152.7,154.2373,151.62,153.49,785849
4/15/2015,156.2,156.3,153.39,153.56,873609
4/16/2015,153.51,154.62,153.51,154.16,435602
4/17/2015,154.9,155.8327,151.75,152.05,688833
4/20/2015,152.5,153.37,150.79,151.59,600808
4/21/2015,151.78,153.81,151.6394,152.97,524958
4/22/2015,152.82,153.98,150.5047,153.94,529970
4/23/2015,153.88,157.909,153.12,156.99,817720
4/24/2015,157.93,158.97,156.71,157.08,745312
4/27/2015,156.97,157.47,155.64,155.91,455569
4/28/2015,155.5,156.96,154.25,154.47,759120
4/29/2015,154.29,154.63,151.39,151.83,555996
4/30/2015,151.22,153.61,150.299,151.09,641968
5/1/2015,150.41,154.32,150,154.27,475829
5/4/2015,154.52,154.95,153.03,153.85,506001
5/5/2015,154.25,154.54,152.11,153.47,578786
5/6/2015,153.33,153.845,151.17,152.04,626970
5/7/2015,151.37,154.87,151.01,153.84,502983
5/8/2015,155,156.224,154.18,154.29,487735
5/11/2015,154,155.22,154,154.27,478676
5/12/2015,153.26,154.38,152.12,153.19,374294
5/13/2015,152.99,154.11,151.16,152.13,521840
5/14/2015,152.69,152.69,149.53,149.83,1027602
5/15/2015,149.41,152.06,149.12,151,723068
5/18/2015,150.4,152.11,149.85,151.51,567672
5/19/2015,151.36,153.51,150.75,152.14,697245
5/20/2015,151.68,152.09,149.53,150.83,615876
5/21/2015,151.2,153.19,151.0525,152.25,451333
5/22/2015,152.07,152.9653,151.11,151.24,401731
5/26/2015,150.9,152.38,150.14,150.16,862042
5/27/2015,151.88,155.48,151.72,154.78,1377544
5/28/2015,155.18,156.49,152.8,156.27,2504544
5/29/2015,159.27,159.85,152.25,152.62,3789548
6/1/2015,153.05,154.17,151,153.87,1206959
6/2/2015,154.3,156.15,154,154.35,973817
6/3/2015,154.51,157,153.6732,156.26,905274
6/4/2015,154.72,157.5,154.26,155.9,816641
6/5/2015,156.11,157.18,154.6,156.28,682601
6/8/2015,156.46,156.51,153.54,153.69,723733
